goos: linux
goarch: amd64
pkg: github.com/kudesn1k1/WasmHooks/dataplane/internal/sandbox/extismrt
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkCallWarmParallel-4             	   15403	     66686 ns/op	  505689 B/op	     278 allocs/op
BenchmarkCallWarmParallel-4             	   17968	     64492 ns/op	  505445 B/op	     278 allocs/op
BenchmarkCallWarmParallel-4             	   15510	     67369 ns/op	  505678 B/op	     278 allocs/op
BenchmarkCallWarmParallel-4             	   18073	     67731 ns/op	  505437 B/op	     278 allocs/op
BenchmarkCallWarmParallel-4             	   18050	     65565 ns/op	  505440 B/op	     278 allocs/op
BenchmarkCallWarmParallel-4             	   18488	     61978 ns/op	  505404 B/op	     278 allocs/op
PASS
ok  	github.com/kudesn1k1/WasmHooks/dataplane/internal/sandbox/extismrt	95.556s
goos: linux
goarch: amd64
pkg: github.com/kudesn1k1/WasmHooks/dataplane/internal/schema
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkValidate-4   	  414884	      2836 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  393218	      2836 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  394710	      2860 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  392756	      2848 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  398931	      2869 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  398757	      2842 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  409386	      2851 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  402207	      2954 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  390948	      2859 ns/op	    2896 B/op	      39 allocs/op
BenchmarkValidate-4   	  394834	      2910 ns/op	    2896 B/op	      39 allocs/op
PASS
ok  	github.com/kudesn1k1/WasmHooks/dataplane/internal/schema	11.772s
